663
P0000	6060.79	3715.33	10.00
P0001	6022.43	3680.97	10.00
P0002	4073.53	5811.61	10.00
P0003	3964.52	5707.26	10.00
P0004	4526.93	5114.01	10.00
P0005	5062.52	4551.17	10.00
P0006	5052.36	4562.17	10.00
P0007	4998.97	4490.43	10.00
P0008	5098.12	4585.36	10.00
P0009	5306.89	4292.04	10.00
P0010	6148.00	3406.97	10.00
P0011	6749.16	2773.10	10.00
P0012	7121.39	2380.63	10.00
P0013	7239.75	2257.60	10.00
P0014	7009.25	2572.19	10.00
P0015	6792.77	2801.13	10.00
P0016	6359.81	3255.90	10.00
P0017	6021.81	3612.68	10.00
P0018	5995.38	3640.58	10.00
P0019	5986.03	3648.36	10.00
P0020	5970.61	3634.24	10.00
P0021	5976.28	3658.70	10.00
P0022	5950.58	3615.75	10.00
P0023	5931.56	3635.98	10.00
P0024	5965.98	3598.00	10.00
P0025	4037.71	5775.79	10.00
P0026	4232.04	5571.63	10.00
P0027	9589.15	8913.15	10.00
P0028	9361.98	9160.80	10.00
P0029	5076.01	4609.26	10.00
P0030	5045.03	4569.61	10.00
P0031	9139.78	9399.84	10.00
P0032	9108.62	9370.59	10.00
P0033	4745.79	5230.47	10.00
P0034	4831.63	5310.86	10.00
P0035	4732.46	5234.62	10.00
P0036	4779.15	5220.54	10.00
P0037	4701.78	5244.17	10.00
P0038	4544.65	5096.65	10.00
P0039	4562.58	5077.13	10.00
P0040	4559.36	5109.37	10.00
P0041	4563.56	5149.84	10.00
P0042	4002.57	5741.00	10.00
P0043	4599.97	5183.63	10.00
P0044	4581.68	5130.26	10.00
P0045	4541.12	5127.70	10.00
P0046	4438.74	5353.50	10.00
P0047	4474.93	5387.34	10.00
P0048	4268.72	5605.82	10.00
P0049	4653.43	5199.76	10.00
P0050	5044.48	4642.56	10.00
P0051	5000.77	4688.72	10.00
P0052	5080.80	4676.64	10.00
P0053	5058.03	4628.52	10.00
P0054	9537.17	8906.95	10.00
P0055	9330.43	9130.01	10.00
P0056	9514.06	8884.46	10.00
P0057	9557.43	8883.75	10.00
P0058	9335.18	9136.26	10.00
P0059	5410.29	5412.55	10.00
P0060	5390.25	5433.69	10.00
P0061	5359.90	5363.28	10.00
P0062	5461.49	5460.57	10.00
P0063	4814.17	4886.50	10.00
P0064	4849.58	4921.40	10.00
P0065	4832.63	4866.17	10.00
P0066	4704.40	4999.55	10.00
P0067	5288.99	5337.99	10.00
P0068	5339.51	5385.68	10.00
P0069	5309.06	5315.91	10.00
P0070	5237.81	5289.63	10.00
P0071	9313.71	9157.22	10.00
P0072	9129.76	9348.86	10.00
P0073	9300.68	9145.00	10.00
P0074	9091.41	9312.51	10.00
P0075	4599.93	5077.90	10.00
P0076	4617.06	5093.14	10.00
P0077	4580.01	5058.56	10.00
P0078	1236.30	1886.12	10.00
P0079	1599.11	2230.07	10.00
P0080	1219.48	1904.45	10.00
P0081	1023.02	1682.14	10.00
P0082	0.00	710.53	10.00
P0083	139.54	844.58	10.00
P0084	252.06	478.13	10.00
P0085	299.11	523.07	10.00
P0086	4977.59	4961.17	10.00
P0087	4970.07	4994.98	10.00
P0088	4961.61	5027.80	10.00
P0089	4944.88	5012.53	10.00
P0090	4980.12	5045.01	10.00
P0091	4939.78	5077.24	10.00
P0092	4908.91	5050.97	10.00
P0093	4874.95	5086.72	10.00
P0094	4833.83	5129.62	10.00
P0095	4904.45	5115.13	10.00
P0096	4862.44	5158.23	10.00
P0097	4799.87	5167.16	10.00
P0098	4828.87	5193.68	10.00
P0099	4762.80	5205.14	10.00
P0100	5106.58	5123.30	10.00
P0101	5085.19	5144.79	10.00
P0102	5157.21	5171.81	10.00
P0103	5054.92	5074.76	10.00
P0104	5136.69	5194.17	10.00
P0105	5034.28	5096.91	10.00
P0106	5186.77	5241.42	10.00
P0107	5207.45	5219.65	10.00
P0108	4454.71	5045.03	10.00
P0109	4548.52	5064.63	10.00
P0110	3309.04	3888.86	10.00
P0111	3948.43	4495.51	10.00
P0112	3326.91	3870.02	10.00
P0113	2464.35	3086.33	10.00
P0114	5679.40	3645.58	10.00
P0115	5786.32	3749.11	10.00
P0116	5772.53	3664.76	10.00
P0117	5777.72	3658.38	10.00
P0118	5772.13	3674.96	10.00
P0119	5966.20	3669.40	10.00
P0120	5928.73	3710.76	10.00
P0121	5916.81	3651.45	10.00
P0122	5961.33	3644.96	10.00
P0123	5893.87	3630.50	10.00
P0124	5933.24	3588.66	10.00
P0125	5868.70	3657.46	10.00
P0126	5891.70	3676.97	10.00
P0127	5608.86	4120.68	10.00
P0128	5646.11	4155.55	10.00
P0129	5421.28	4318.37	10.00
P0130	2276.20	2909.39	10.00
P0131	2294.43	2889.79	10.00
P0132	2138.36	2777.83	10.00
P0133	5243.10	4231.45	10.00
P0134	5271.56	4223.08	10.00
P0135	5270.46	4257.54	10.00
P0136	5234.13	4223.30	10.00
P0137	5307.40	4212.70	10.00
P0138	5203.50	4111.68	10.00
P0139	5347.75	4249.95	10.00
P0140	5361.85	4308.49	10.00
P0141	5325.45	4273.90	10.00
P0142	5384.37	4284.09	10.00
P0143	5307.92	4257.36	10.00
P0144	5288.97	4239.50	10.00
P0145	5252.38	4204.69	10.00
P0146	4394.84	4375.03	10.00
P0147	4377.26	4393.44	10.00
P0148	4177.94	4168.33	10.00
P0149	4542.01	4515.27	10.00
P0150	4159.62	4186.49	10.00
P0151	4596.73	4601.36	10.00
P0152	3959.74	3960.95	10.00
P0153	3941.79	3980.90	10.00
P0154	4739.26	4307.02	10.00
P0155	4701.48	4346.91	10.00
P0156	4045.65	3650.05	10.00
P0157	4568.63	4540.64	10.00
P0158	4571.89	4483.73	10.00
P0159	4598.39	4509.43	10.00
P0160	4613.80	4583.68	10.00
P0161	4729.76	4371.60	10.00
P0162	4681.30	4422.20	10.00
P0163	4653.61	4397.45	10.00
P0164	4612.57	4440.78	10.00
P0165	4639.47	4467.09	10.00
P0166	4631.81	4635.65	10.00
P0167	4668.53	4669.96	10.00
P0168	4396.47	4885.24	10.00
P0169	4685.70	4652.19	10.00
P0170	4705.57	4671.12	10.00
P0171	4743.93	4741.36	10.00
P0172	4779.93	4775.76	10.00
P0173	4800.06	4795.37	10.00
P0174	4796.78	4757.54	10.00
P0175	4824.37	4803.10	10.00
P0176	4825.98	4820.08	10.00
P0177	4833.99	4792.45	10.00
P0178	4816.39	4810.72	10.00
P0179	741.88	1450.62	10.00
P0180	1005.38	1700.81	10.00
P0181	4851.72	4772.58	10.00
P0182	4779.44	4704.26	10.00
P0183	4867.98	4756.31	10.00
P0184	4804.04	4679.00	10.00
P0185	4870.36	4789.27	10.00
P0186	4831.65	4704.83	10.00
P0187	4859.53	4731.31	10.00
P0188	4824.39	4713.71	10.00
P0189	4820.77	4694.65	10.00
P0190	4851.53	4739.56	10.00
P0191	268.15	456.68	10.00
P0192	281.35	469.33	10.00
P0193	4893.80	4655.42	10.00
P0194	4908.91	4668.41	10.00
P0195	4873.84	4637.91	10.00
P0196	4939.97	4716.65	10.00
P0197	4928.37	4729.32	10.00
P0198	4948.34	4724.04	10.00
P0199	5290.15	4276.02	10.00
P0200	5216.46	4170.72	10.00
P0201	5199.01	4189.18	10.00
P0202	5016.56	4017.32	10.00
P0203	5034.39	3998.49	10.00
P0204	4807.80	3818.89	10.00
P0205	5083.51	4079.38	10.00
P0206	4825.52	3800.52	10.00
P0207	5204.78	4159.66	10.00
P0208	4590.42	3612.27	10.00
P0209	4607.87	3593.65	10.00
P0210	4373.24	3405.83	10.00
P0211	4390.58	3387.62	10.00
P0212	4172.82	3180.99	10.00
P0213	4155.97	3198.74	10.00
P0214	3959.30	2977.99	10.00
P0215	3917.12	2972.97	10.00
P0216	3796.07	2823.24	10.00
P0217	3778.53	2841.16	10.00
P0218	3522.74	2564.38	10.00
P0219	3504.99	2582.73	10.00
P0220	3277.74	2366.35	10.00
P0221	3302.88	2354.78	10.00
P0222	3086.02	2148.16	10.00
P0223	3068.59	2167.35	10.00
P0224	4902.65	5336.64	10.00
P0225	4882.30	5358.99	10.00
P0226	4953.34	5385.54	10.00
P0227	4852.73	5288.35	10.00
P0228	4932.97	5407.11	10.00
P0229	5148.59	5571.29	10.00
P0230	5128.81	5593.08	10.00
P0231	4792.55	5233.16	10.00
P0232	5413.64	5823.04	10.00
P0233	5393.69	5844.61	10.00
P0234	5524.73	5927.94	10.00
P0235	5501.35	5946.85	10.00
P0236	6088.77	6055.71	10.00
P0237	6067.32	6077.17	10.00
P0238	6239.85	6199.32	10.00
P0239	5921.85	5897.07	10.00
P0240	6219.15	6220.55	10.00
P0241	5900.70	5919.26	10.00
P0242	6391.68	6342.99	10.00
P0243	6370.66	6364.63	10.00
P0244	6546.56	6489.37	10.00
P0245	6526.01	6511.92	10.00
P0246	6697.91	6633.26	10.00
P0247	6677.24	6655.43	10.00
P0248	6843.06	6771.38	10.00
P0249	6821.86	6792.59	10.00
P0250	7658.34	7546.09	10.00
P0251	7637.45	7567.00	10.00
P0252	7806.65	7685.77	10.00
P0253	7502.12	7397.06	10.00
P0254	7786.51	7707.44	10.00
P0255	7481.74	7419.45	10.00
P0256	7956.55	7827.39	10.00
P0257	7936.86	7849.09	10.00
P0258	8114.01	7976.43	10.00
P0259	8093.50	7997.66	10.00
P0260	8272.23	8126.20	10.00
P0261	8250.02	8148.48	10.00
P0262	8425.42	8271.51	10.00
P0263	8403.97	8293.97	10.00
P0264	8579.77	8418.15	10.00
P0265	8558.13	8440.81	10.00
P0266	8730.29	8561.14	10.00
P0267	8709.05	8583.63	10.00
P0268	8834.00	8659.67	10.00
P0269	8812.96	8681.97	10.00
P0270	8984.12	8802.28	10.00
P0271	8963.38	8824.32	10.00
P0272	9157.62	8967.30	10.00
P0273	9136.85	8989.10	10.00
P0274	9221.41	9028.00	10.00
P0275	9187.34	9037.11	10.00
P0276	9252.80	9057.86	10.00
P0277	9232.06	9079.61	10.00
P0278	9309.37	9111.81	10.00
P0279	9070.47	9334.70	10.00
P0280	9034.47	9300.28	10.00
P0281	9055.07	9278.10	10.00
P0282	8932.16	9203.68	10.00
P0283	8953.18	9181.77	10.00
P0284	8805.57	9083.31	10.00
P0285	8825.98	9062.01	10.00
P0286	8676.50	8920.46	10.00
P0287	8657.34	8941.36	10.00
P0288	8501.27	8793.92	10.00
P0289	8709.33	8912.17	10.00
P0290	8521.37	8772.89	10.00
P0291	8218.02	8484.41	10.00
P0292	8198.25	8504.95	10.00
P0293	8066.61	8341.75	10.00
P0294	8046.56	8362.94	10.00
P0295	7454.68	7761.01	10.00
P0296	7434.87	7782.01	10.00
P0297	7302.68	7616.26	10.00
P0298	7283.09	7636.61	10.00
